"ERP System","Payment_Term","Text",					
"E1P","B827","1 % 20e net 21e + 1 mois Pour les factures entrantes jusqu'à la fin du mois Avant 20 dans 3 mois 1 % d'escompte Avant 21 dans 3 mois Net dû",								
"E1P","B828","1 % 20e net 21e +2 mois Pour les factures entrantes jusqu'à la fin du mois Avant 20 dans 4 mois 1 % d'escompte Avant 21 dans 4 mois Net dû"								
"E1P","B829","1 % 15e Net 16e +2 mois Pour les factures entrantes jusqu'à la fin du mois Avant 15 dans 4 mois 1 % d'escompte Avant 16 dans 4 mois Net dû",								
"E1P","B830","Net 20e PROX Pour les factures entrantes jusqu'à la fin du mois Avant 20 dans 2 mois, Net dû",								
"E1P","B831","Net 20e PROX + 1 mois Pour les factures entrantes jusqu'à la fin du mois Avant 20 dans 3 mois, Net dû",								
"E1P","B832","Net 20e PROX + 2 mois Pour les factures entrantes jusqu'à la fin du mois Avant 20 dans 4 mois, Net dû",								
"E1P","B833","15e net PROX + 2 mois Pour les factures entrantes jusqu'à la fin du mois Avant 15 dans 4 mois, Net dû",								
"E1P","D201","Payable en 2 montants partiels versement 1 : 95,000% avec modalités de paiement A001 versement 2 : 5,000% avec modalités de paiement S0R1",								
"E1P","D301","Payable en 2 montants partiels versement 1 : 95,000% avec modalités de paiement SN30 versement 2 : 5,000 % avec modalités de paiement S0R2",								
"E1P","D302","Payable en 2 montants partiels versement 1 : 95,000% avec modalités de paiement SN45 versement 2 : 5,000 % avec modalités de paiement S0R2",								
"E1P","D303","Payable en 2 montants partiels versement 1 : 92,000% avec modalités de paiement SN30 versement 2 : 8,000 % avec modalités de paiement S0R3",								
"E1P","D304","Payable en 2 montants partiels versement 1 : 92,000% avec modalités de paiement SN45 versement 2 : 8,000 % avec modalités de paiement S0R3",								
"E1P","D305","Payable en 2 montants partiels versement 1 : 92,000% avec modalités de paiement SN60 versement 2 : 8,000 % avec modalités de paiement S0R3",								
"E1P","D306","Payable en 2 montants partiels versement 1 : 90,000% avec modalités de paiement SN30 versement 2 : 10,000 % avec modalités de paiement S0R4",								
"E1P","D307","Payable en 2 montants partiels versement 1 : 90,000% avec modalités de paiement SN45 versement 2 : 10,000 % avec modalités de paiement S0R4",								
"E1P","D308","Payable en 2 montants partiels versement 1 : 90,000% avec modalités de paiement SN60 versement 2 : 10,000 % avec modalités de paiement S0R4",								
"E1P","D309","Payable en 2 montants partiels versement 1 : 95,000% avec modalités de paiement PWP versement 2 : 5,000 % avec modalités de paiement S0R2",								
"E1P","D310","Payable en 2 montants partiels versement 1 : 92,000% avec modalités de paiement PWP versement 2 : 8,000 % avec modalités de paiement S0R3",								
"E1P","D311","Payable en 2 montants partiels versement 1 : 90,000% avec modalités de paiement PWP versement 2 : 10,000 % avec modalités de paiement S0R4",								
"E1P","D401","Payable en 2 montants partiels versement 1 : 95,000% avec modalités de paiement SN60 versement 2 : 5,000 % avec modalités de paiement S0R2",								
"E1P","DP15","Net dû 15 jours (jours fixes DPR)",								
"E1P","DP45","Net dû 45 jours (jours fixes DPR)",								
"E1P","EP30","Net 30 ou EPT",								
"E1P","EP45","Net 45 ou EPT",								
"E1P","EP60","Net 60 ou EPT",								
"E1P","EP75","Net 75 ou EPT",								
"E1P","IC00","Recouvrement ICC dû immédiatement",								
"E1P","IC15","Recouvrement ICC 15.M.+1",								
"E1P","IC30","Recouvrement ICC 30.M+1",								
"E1P","IC75","Recouvrement ICC 31e+2 mois",								
"E1P","IC90","Recouvrement ICC 15.M.+3",								
"E1P","ICM4","Recouvrement ICC 31e+4 mois",								
"E1P","ICUT","ICUT Payable à la fin du mois de la date de facturation",								
"E1P","S013","60 jours fin du mois",								
"E1P","S02P","Avant le 25 du mois suivant 		 Net dû",						
"E1P","S0M3","Avant le 25 du mois suivant 		 Net dû",						
"E1P","S0N1","0,5 % 10 net 35",								
"E1P","S0N2","0,5 % 15 net 30",								
"E1P","S0N3","0,5 % 10 net 30",								
"E1P","S0R1","Retenue de 5 % 30 mois",								
"E1P","S0R2","Retenue de 5 % 99 mois",								
"E1P","S0R3","Retenue de 8 %",								
"E1P","S0R4","Retenue de 10%",								
"E1P","S104","2 % 10 jours net 45",								
"E1P","S130","1 % 30 jours net 31",								
"E1P","S13M","Avant le 10 du mois suivant 		 1 % d'escompte avant le 30 du mois suivant 		 Net dû",				
"E1P","S145","1 % 45 jours net 46",								
"E1P","S150","Net dû 150 jours",								
"E1P","S156","1.5 % 20 jours net 60",								
"E1P","S15M","1 % 25 jours net 45",								
"E1P","S16S","Avant le 15 du mois suivant 		 1 % d'escompte avant le 25 du mois suivant 		 Net dû",				
"E1P","S175","1 % 75 jours net 76",								
"E1P","S17M","Avant 15 dans 2 mois 1 % d'escompte Avant 25 dans 2 mois Net dû",								
"E1P","S1M4","Avant 10 dans 4 mois 1 % d'escompte Avant 25 dans 4 mois Net dû",								
"E1P","S1M7","dans les 70 jours 1 % d'escompte dans les 85 jours Net dû",								
"E1P","S1MU","Avant 10 dans 2 mois 1 % d'escompte Avant 25 dans 2 mois Net dû",								
"E1P","S1N0","1,5 % 10 net 20",								
"E1P","S1N1","1 % 10 net 25",								
"E1P","S1N2","1 % 10 net 30",								
"E1P","S1N3","1,5 % 10 jours net 30",								
"E1P","S1N4","1,5 % 10 jours net 45",								
"E1P","S1N5","Avant le 15 du mois suivant 		 1 % d'escompte avant le 30 du mois suivant 		 Net dû",				
"E1P","S1N6","1 % 60 jours net 61",								
"E1P","S1N7","1 % 10 net 35",								
"E1P","S1N8","1 % 10 net 45",								
"E1P","S1N9","1 % 11 net 30",								
"E1P","S1NA","1 % 15 jours net 35",								
"E1P","S1NB","1 % 15 jours net 45",								
"E1P","S1NC","1 % 20 jours net 45",								
"E1P","S1RA","1 % 10e / Net 11e Prox 1 % 10e / Net 11e Prox",								
"E1P","S1RB","Net 25e Prox",								
"E1P","S1RM","dans les 90 jours 1 % d'escompte dans les 105 jours Net dû",								
"E1P","S1RN","1 % 15e net 16e PROX 1 % 15e net 16e PROX",								
"E1P","S1RO","15e Net PROX",								
"E1P","S1RX","Pour les factures entrantes jusqu'au 25 du mois Avant 15 dans 2 mois 1 % d'escompte. Avant 16 dans 2 mois Net dû Pour les factures entrantes jusqu'à la fin du mois Avant 15 dans 3 mois 1 % d'escompte Avant 16 dans 3 mois Net dû",								
"E1P","S1RY","Pour les factures entrantes jusqu'au 25 du mois Avant 15 dans 2 mois, Net dû Pour les factures entrantes jusqu'à la fin du mois Avant 15 dans 3 mois, Net dû",								
"E1P","S20!","Avant 15 dans 6 mois 2 % d'escompte Avant 25 dans 6 mois Net dû",								
"E1P","S207","Avant 15 dans 2 mois 2 % d'escompte Avant 25 dans 2 mois, Net dû",								
"E1P","S208","Avant le 15 du mois suivant 		 2 % d'escompte avant le 25 du mois suivant 		 Net dû",				
"E1P","S20>","Avant le 15 du mois suivant 		 2,75 % d'escompte avant le 25 du mois suivant 		 Net dû",				
"E1P","S20T","Avant 15 dans 5 mois 2 % d'escompte Avant 25 dans 5 mois Net dû",								
"E1P","S210","Avant le 10 du mois suivant 		 2 % d'escompte avant le 15 du mois suivant 		 Net dû",				
"E1P","S215","2 % 15e net 25e + 3 mois",								
"E1P","S225","2 % 25 jours net 45",								
"E1P","S230","Pour les factures entrantes jusqu'au 17 du mois Avant le 30 du mois 2 % d'escompte Avant le 20 du mois suivant 		 Net dû Pour les factures entrantes jusqu'à la fin du mois Avant le 30 du mois suivant 		 2 % d'escompte Avant 20 dans 2 mois Net dû",				
"E1P","S233","2 % 30 jours net 31",								
"E1P","S240","Net dû 240 jours",								
"E1P","S251","2 % 25e net 10e + 1 mois",								
"E1P","S252","2 % 25e net 10e + 2 mois",								
"E1P","S253","Avant 15 dans 4 mois 2 % d'escompte Avant 25 dans 4 mois Net dû",								
"E1P","S25T","2 % 25e net 10e",								
"E1P","S275","2 % 15 jours net 75 jours",								
"E1P","S2LZ","Avant le 10 du mois suivant 		 2 % d'escompte avant le 25 du mois suivant 		 Net dû",				
"E1P","S2M0","Avant 10 dans 2 mois 2 % d'escompte Avant 25 dans 2 mois Net dû",								
"E1P","S2M1","Avant 10 dans 2 mois 2 % d'escompte Avant 30 dans 2 mois Net dû",								
"E1P","S2M2","Avant 10 dans 3 mois 2 % d'escompte Avant 30 dans 3 mois Net dû",								
"E1P","S2M3","Avant le 15 du mois suivant 		 2 % d'escompte avant le 25 du mois suivant 		 Net dû",				
"E1P","S2M4","Avant 15 dans 2 mois 2 % d'escompte Avant 25 dans 2 mois Net dû",								
"E1P","S2M5","2 % 15e net 25 du mois suivant",								
"E1P","S2M6","Avant 15 dans 3 mois 2 % d'escompte Avant 25 dans 3 mois Net dû",								
"E1P","S2M7","2 % 15e net 25e + 3 mois",								
"E1P","S2M8","Avant 10 dans 3 mois 2 % d'escompte Avant 25 dans 3 mois Net dû",								
"E1P","S2M9","Avant 10 dans 4 mois 2 % d'escompte Avant 25 dans 4 mois Net dû",								
"E1P","S2MA","2 % 15e net 30e",								
"E1P","S2N1","2 % 10 net 31",								
"E1P","S2N2","2 % 10 jours net 25",								
"E1P","S2N3","2 % 10 jours net 30",								
"E1P","S2N4","2 % 10 jours net 45",								
"E1P","S2N5","2 % 45 jours net 60",								
"E1P","S2N6","2 % 60 jours net 61",								
"E1P","S2N7","2 % 30 jours net 75",								
"E1P","S2N8","2 % 60 jours net 75",								
"E1P","S2N9","2 % 45 jours net 90",								
"E1P","S2NA","2 % 60 jours net 90",								
"E1P","S2NB","2 % 10 jours net 35",								
"E1P","S2NC","2 % 10 jours net 41",								
"E1P","S2ND","2 % 12 jours net 35",								
"E1P","S2NE","2 % 14 net 90",								
"E1P","S2NF","2 % 15 net 35",								
"E1P","S2NG","2 % 20 net 35",								
"E1P","S2NH","2 % 90 net 105",								
"E1P","S2NI","2 % 120 net 121",								
"E1P","S2NJ","2 % 179 net 180",								
"E1P","S2NK","2 % 30 net 31",								
"E1P","S2NL","2 % 15 net 45",								
"E1P","S2NM","Avant le 10 du mois suivant 		 2 % d'escompte avant le 30 du mois suivant 		 Net dû",				
"E1P","S2NN","2 % 90 net 91",								
"E1P","S2NO","2 % 30 jours net 45",								
"E1P","S2NP","2 % 14 jours net 60",								
"E1P","S2NQ","2 % 15 jours net 90",								
"E1P","S2NT","2 % 14 net 30",								
"E1P","S2NU","Avant le 15 du mois suivant 		 2 % d'escompte avant le 30 du mois suivant 		 Net dû",				
"E1P","S2NV","2 % 20 jours net 30",								
"E1P","S2NW","2 % 10 net 15",								
"E1P","S2NZ","2,5 % 10 jours net 30",								
"E1P","S2O!","Avant 15 dans 5 mois, 2 % d'escompte Avant 25 dans 5 mois, Net dû",								
"E1P","S2SA","Avant 10 dans 4 mois 2 % d'escompte Avant 25 dans 4 mois Net dû",								
"E1P","S2TA","Avant 10 dans 5 mois 2 % d'escompte Avant 25 dans 5 mois Net dû",								
"E1P","S2ZA","Avant 10 dans 3 mois 2 % d'escompte Avant 25 dans 3 mois Net dû",								
"E1P","S30)","Avant le 15 du mois suivant 		 3,5 % d'escompte avant le 25 du mois suivant 		 Net dû",				
"E1P","S30C","Net 30, sous réserve d'approbation de crédit",								
"E1P","S360","NET 360",								
"E1P","S365","Net dû 365 jours",								
"E1P","S3M0","Avant le 10 du mois suivant 		 3 % d'escompte avant le 25 du mois suivant 		 Net dû",				
"E1P","S3ML","Avant 10 dans 2 mois 3 % d'escompte Avant 25 dans 2 mois Net dû",								
"E1P","S3N1","3 % 14 net 90",								
"E1P","S3N2","3 % 45 net 46",								
"E1P","S3N3","dans les 30 jours 3 % d'escompte dans les 31 jours Net dû",								
"E1P","S3N4","3 % 45 net 60",								
"E1P","S3N6","3 % 60 net 61",								
"E1P","S3N7","3 % 14 jours net 75",								
"E1P","S3N9","3 % 15 net 90",								
"E1P","S430","4 % 30 jours net 31",								
"E1P","S490","4 % 90 jours net 91",								
"E1P","S4M1","4 % 10e net 25e + 1 mois",								
"E1P","S4MJ","Avant 10 dans 2 mois 4 % d'escompte Avant 25 dans 2 mois Net dû",								
"E1P","S4MK","Avant 10 dans 3 mois 4 % d'escompte. Avant 25 dans 3 mois Net dû",								
"E1P","S4N9","4 % 90 jours net 91",								
"E1P","S540","Net dû 540 jours",								
"E1P","S5M1","Avant 10 dans 2 mois 5 % d'escompte Avant 25 dans 2 mois Net dû",								
"E1P","S5MO","Avant 10 dans 3 mois 5 % d'escompte Avant 25 dans 3 mois Net dû",								
"E1P","S5N3","5 % 10 net 30",								
"E1P","S6MH","Avant 10 dans 2 mois 6 % d'escompte Avant 25 dans 2 mois Net dû",								
"E1P","S751","Net 75 jours - dû le 1er du mois suivant",								
"E1P","S7M1","Avant 10 dans 2 mois, 7 % d'escompte Avant 25 dans 2 mois, Net dû",								
"E1P","S7MN","Avant 10 dans 3 mois 7 % d'escompte Avant 25 dans 3 mois Net dû",								
"E1P","S7N3","7%, 10 jours, net 25+30",								
"E1P","SALL","2 % Toutes phases",								
"E1P","SAMX","American Express",								
"E1P","SBKP","Faillite",								
"E1P","SCAD","Argent contre documents",								
"E1P","SCCD","Carte de crédit",								
"E1P","SCE1","Programme CED 1 %",								
"E1P","SCE2","Programme CED 2 %",								
"E1P","SCIA","Avance de fonds",								
"E1P","SCOD","Comptant à la livraison",								
"E1P","SD60","3,5 % 15 jours net 60",								
"E1P","SD90","Traite à vue - net 90 jours",								
"E1P","SDRA","Traite à vue - net 30								
"E1P","SFM1","Dû le 15 du premier mois",								
"E1P","SFM2","Dû le 15 du 2e mois",								
"E1P","SFM3","Dû le 15 du 3e mois",								
"E1P","SFM4","Dû le 15 du 4e mois",								
"E1P","SFM5","Dû le 15 du 5e mois",								
"E1P","SFN2","2e + 2 mois",								
"E1P","SGP1","2 % 20 jours net 45",								
"E1P","SGP2","2 % 10 jours net 60",								
"E1P","SGP3","2 % 20 jours net 60",								
"E1P","SGP4","2 % 20 jours net 90",								
"E1P","SGP5","2 % 15 jours net 60",								
"E1P","SGP6","3 % 14 jours net 60",								
"E1P","SHM3","Dû le 5 du 3e mois",								
"E1P","SI01","Versement dû après 30 jours",								
"E1P","SI02","Versement dû après 60 jours",								
"E1P","SI03","Versement dû après 90 jours",								
"E1P","SI33","Mod. de pmt - Plan de paiement à 3 versements",								
"E1P","SIN0","Versement dû le 15 du mois courant",								
"E1P","SIN1","Versement dû le 15 du premier mois",								
"E1P","SIN2","Versement dû le 15 du 2e mois",								
"E1P","SIN3","Versement dû le 15 du 3e mois",								
"E1P","SIN4","Versement dû le 15 du 4e mois",								
"E1P","SIN5","Versement dû le 15 du 5e mois",								
"E1P","SIN6","Versement dû le 15 du 6e mois",								
"E1P","SIN7","Versement dû le 15 du 7e mois",								
"E1P","SIN8","Versement dû le 15 du 8e mois",								
"E1P","SIN9","Versement dû le 15 du 9e mois",								
"E1P","SINS","Mod. pmt. - Plan de paiement à versements",								
"E1P","SL/C","Lettre de crédit - dû immédiatement",								
"E1P","SLC1","Lettre de crédit - dû 120 jours",								
"E1P","SLC3","Lettre de crédit - dû 30 jours",								
"E1P","SLC5","Lettre de crédit - dû 150 jours",								
"E1P","SLC6","Lettre de crédit - dû 60 jours",								
"E1P","SLC9","Lettre de crédit - dû 90 jours",								
"E1P","SLCH","Lettre de crédit - dû 180 jours",								
"E1P","SLCI","Lettre de crédit irrévocable",								
"E1P","SM/C","Master Card",								
"E1P","SN/C","Sans frais",								
"E1P","SN05","Net dû 5 jours",								
"E1P","SN07","Net dû 7 jours",								
"E1P","SN1%","Avant le 10 du mois suivant 		 1 % d'escompte avant le 25 du mois suivant 		 Net dû",				
"E1P","SN10","Net dû 10 jours",								
"E1P","SN12","Net dû 120 jours",								
"E1P","SN14","Net dû 14 jours",								
"E1P","SN15","Net dû 15 jours",								
"E1P","SN16","1 % 60 jours net 75 jours",								
"E1P","SN18","Net dû 180 jours",								
"E1P","SN20","Net dû 20 jours",								
"E1P","SN21","Net dû 210 jours",								
"E1P","SN25","Net dû 25 jours",								
"E1P","SN27","Net dû 270 jours",								
"E1P","SN30","Net dû 30 jours",								
"E1P","SN31","Net dû fin du mois",								
"E1P","SN32","Net dû le 15 du mois suivant",								
"E1P","SN33","Net Ultimo le mois suivant",								
"E1P","SN35","Net dû 35 jours",								
"E1P","SN3H","Net dû 300 jours",								
"E1P","SN40","Net dû 40 jours",								
"E1P","SN45","Net dû 45 jours",								
"E1P","SN47","Net dû 47 jours",								
"E1P","SN50","Net dû 50 jours",								
"E1P","SN55","Net dû 55 jours",								
"E1P","SN60","Net dû 60 jours",								
"E1P","SN66","Net dû 66 jours",								
"E1P","SN70","Net dû 70 jours",								
"E1P","SN75","Net dû 75 jours",								
"E1P","SN90","Net dû 90 jours",								
"E1P","SONP","Sonepar PJ",								
"E1P","SP2%","dans les 14 jours 2 % d'escompte dans les 120 jours Net dû",								
"E1P","SPIA","Paiement à l'avance",								
"E1P","SPM5","dans les 190 jours 2 % d'escompte dans les 205 jours Net dû",								
"E1P","SPM8","dans les 160 jours 2 % d'escompte dans les 175 jours Net dû",								
"E1P","SPM9","dans les 130 jours 2 % d'escompte dans les 155 jours Net dû",								
"E1P","SPOR","Payable sur réception",								
"E1P","SPWP","Dû sur réception du paiement du tiers",								
"E1P","SS11","Pour les factures entrantes jusqu'au 15 du mois Avant le 10 du mois suivant 		 1 % d'escompte avant le 11 du mois suivant 		 Net dû Pour les factures entrantes jusqu'à la fin du mois Avant le 20 du mois suivant 		 1 % d'escompte avant le 21 du mois suivant 		 Net dû",
"E1P","SS12","1 % 10e / 25e fractionné PROX Pour les factures entrantes jusqu'à la fin du mois Avant le 25 du mois suivant 		 1 % d'escompte avant le 26 du mois suivant 		 Net dû",				
"E1P","SS1X","Pour les factures entrantes jusqu'au 15 du mois Avant 10 dans 2 mois 1 % d'escompte Avant 11 dans 2 mois Net dû Pour les factures entrantes jusqu'à la fin du mois Avant 20 dans 2 mois 1 % d'escompte Avant 21 dans 2 mois Net dû",								
"E1P","SS1Y","1 % 10e / 25e fractionné PROX Pour les factures entrantes jusqu'à la fin du mois Avant 25 dans 2 mois 1 d'escompte Avant 26 dans 2 mois Net dû",								
"E1P","SSIG","Traite à vue - net 30",								
"E1P","SSN1","Pour les factures entrantes jusqu'au 15 du mois Avant le 10 du mois suivant 		 Net dû Pour les factures entrantes jusqu'à la fin du mois Avant le 20 du mois suivant 		 Net dû",				
"E1P","SSN5","Net 10e / 25e fractionné PROX Pour les factures entrantes jusqu'à la fin du mois Avant le 25 du mois suivant 		 Net dû",						
"E1P","SSNX","Pour les factures entrantes jusqu'au 15 du mois Avant 10 dans 2 mois Net dû Pour les factures entrantes jusqu'à la fin du mois Avant 20 dans 2 mois Net dû",								
"E1P","SSNY","Net 10e / 25e fractionné PROX+ 1 mois Pour les factures entrantes jusqu'à la fin du mois Avant le 25 dans 2 mois Net dû",								
"CUP","C000","Payable immédiatement Net dû",								
"CUP","C070","dans les 7 jours Net dû",								
"CUP","C105","dans les 105 jours Net dû",								
"CUP","C120","dans les 120 jours Net dû",								
"CUP","C133","dans les 30 jours 3 % d'escompte dans les 120 jours Net dû",								
"CUP","C140","dans les 14 jours Net dû",								
"CUP","C142","dans les 14 jours 2 % d'escompte",								
"CUP","C143","dans les 14 jours 3 % d'escompte",								
"CUP","C150","dans 150 jours Net dû",								
"CUP","C163","dans les 60 jours 3 % d'escompte dans les 120 jours Net dû",								
"CUP","C165","dans les 165 jours Net dû",								
"CUP","C172","dans les 7 jours 2 % d'escompte dans les 14 jours Net dû",								
"CUP","C180","dans les 180 jours Net dû",								
"CUP","C200","dans les 20 jours Net dû",								
"CUP","C300","dans les 30 jours Net dû",								
"CUP","C302","dans les 30 jours 2 % d'escompte",								
"CUP","C303","dans les 30 jours 3 % d'escompte",								
"CUP","C311","dans les 14 jours 1,5 % d'escompte dans les 30 jours Net dû",								
"CUP","C312","dans les 14 jours 2 % d'escompte dans les 120 jours Net dû",								
"CUP","C313","dans les 14 jours 3 % d'escompte dans les 30 jours Net dû",								
"CUP","C315","dans les 14 jours 3 % d'escompte dans les 30 jours 2 % d'escompte",								
"CUP","C322","dans les 20 jours 2 % d'escompte dans les 30 jours Net dû",								
"CUP","C372","dans les 7 jours 2 % d'escompte dans les 30 jours Net dû",								
"CUP","C412","dans les 14 jours 2 % d'escompte dans les 45 jours Net dû",								
"CUP","C413","dans les 14 jours 3 % d'escompte dans les 45 jours Net dû",								
"CUP","C415","dans les 14 jours 3 % d'escompte dans les 30 jours 2 % d'escompte dans les 45 jours Net dû",								
"CUP","C423","dans les 20 jours 3 % d'escompte dans les 45 jours Net dû",								
"CUP","C433","dans les 30 jours 3 % d'escompte dans les 45 jours Net dû",								
"CUP","C450","dans les 45 jours Net dû",								
"CUP","C600","dans les 60 jours Net dû",								
"CUP","C602","dans les 60 jours 2 % d'escompte",								
"CUP","C612","dans les 14 jours 2 % d'escompte dans les 60 jours Net dû",								
"CUP","C613","dans les 14 jours 3 % d'escompte dans les 60 jours Net dû",								
"CUP","C615","dans les 14 jours 3 % d'escompte dans les 30 jours 2 % d'escompte dans les 60 jours, Net dû",								
"CUP","C625","dans les 20 jours 3 % d'escompte dans les 30 jours 2 % d'escompte dans les 60 jours Net dû",								
"CUP","C632","dans les 30 jours 2 % d'escompte dans les 60 jours Net dû",								
"CUP","C633","dans les 30 jours 3 % d'escompte dans les 60 jours Net dû",								
"CUP","C750","dans les 75 jours Net dû",								
"CUP","C900","dans les 90 jours Net dû",								
"CUP","C913","dans les 14 jours 3 % d'escompte dans les 90 jours Net dû",								
"CUP","C915","dans les 14 jours 3 % d'escompte dans les 30 jours 2 % d'escompte dans les 90 jours Net dû",								
"CUP","C923","dans les 20 jours 3 % d'escompte dans les 90 jours Net dû",								
"CUP","C925","dans les 20 jours 3 % d'escompte dans les 30 jours 2 % d'escompte dans les 90 jours Net dû",								
"CUP","C932","dans les 30 jours 2 % d'escompte dans les 90 jours Net dû",								
"CUP","C933","dans les 30 jours 3 % d'escompte dans les 90 jours Net dû",								
"CUP","C935","dans les 30 jours 3 % d'escompte dans les 60 jours 2 % d'escompte dans les 90 jours Net dû",								
"CUP","C963","dans les 60 jours 3 % d'escompte dans les 90 jours Net dû",								
"CUP","US00","Payable immédiatement Net dû",								
"CUP","US10","dans les 10 jours Net dû",								
"CUP","US15","dans 15 jours Net dû",								
"CUP","US20","dans les 20 jours Net dû",								
"CUP","US30","dans les 30 jours Net dû",								
"CUP","Z002","dans les 10 jours Net dû",								
"CUP","Z007","dans les 10 jours 2 % d'escompte dans les 30 jours Net dû",								
"CUP","Z008","dans les 8 jours 2 % d'escompte dans les 30 jours Net dû",								
"CUP","Z009","dans les 10 jours 3 % d'escompte dans les 30 jours 2 % d'escompte dans les 90 jours Net dû",								
"CUP","Z010","dans les 10 jours 3 % d'escompte dans les 14 jours 2 % d'escompte dans les 30 jours Net dû",								
"CUP","Z011","dans les 5 jours Net dû",								
"CUP","Z012","dans les 7 jours 4 % d'escompte",								
"CUP","Z015","dans les 10 jours 3 % d'escompte dans les 30 jours Net dû",								
"CUP","Z016","dans les 30 jours 3 % d'escompte dans les 60 jours Net dû",								
"CUP","Z019","dans les 90 jours Net dû dans 15 jours Net dû",								
"CUP","Z022","dans 15 jours, dû dans les 20 jours 5 % d'escompte",								
"CUP","Z025","dans les 20 jours 5 % d'escompte dans les 30 jours Net dû",								
"CUP","Z026","dans les 8 jours 2 % d'escompte dans les 14 jours, Net dû",								
"CUP","Z028","dans les 20 jours 3 % d'escompte Avant la fin dans 3 mois, Net dû",								
"CUP","Z029","dans les 21 jours Net dû dans les 10 jours 2 % d'escompte",								
"CUP","Z031","dans 10 jours 2 % d'escompte dans les 90 jours Net dû",								
"CUP","Z032","dans les 8 jours 2 % d'escompte dans les 20 jours Net dû",								
"CUP","Z050","dans les 14 jours 5 % d'escompte dans les 30 jours Net dû",								
"CUP","Z051","dans 10 jours 2 % d'escompte dans les 14 jours Net dû",								
"CUP","Z052","dans les 10 jours 4 % d'escompte dans les 30 jours 2 % d'escompte",								
"CUP","Z082","dans les 10 jours, 2,5 % d'escompte dans les 30 jours Net dû",								
"CUP","Z100","dans les 14 jours 2,5 % d'escompte dans les 30 jours Net dû",								
"CUP","Z104","dans les 45 jours 2 % d'escompte dans les 90 jours Net dû",								
"CUP","Z107","dans les 8 jours Net dû dans les 41 jours Net dû",								
"CUP","Z110","dans les 41 jours Net dû dans les 5 jours 2 % d'escompte",								
"CUP","Z111","dans les 5 jours 2 % d'escompte Payable immédiatement Net dû,"								
"CUP","Z150","Payable immédiatement Net dû Date de base le 15 du mois suivant",								
"CUP","Z200","dans les 20 jours 2 % d'escompte dans les 60 jours Net dû",								
"CUP","ZB13","dans les 10 jours 1,5 % d'escompte dans les 30 jours Net dû",								
"CUP","ZB24","dans les 12 jours 3 % d'escompte dans les 28 jours 2 % d'escompte",								
"CUP","ZB34","dans les 10 jours 3,1 % d'escompte dans les 30 jours 2 % d'escompte",								
"CUP","ZB37","dans les 20 jours 1,5 % d'escompte dans les 30 jours Net dû",								
"CUP","ZB49","dans les 45 jours 3 % d'escompte dans les 60 jours Net dû",								
"CUP","ZB50","dans les 8 jours 3 % d'escompte dans 14 jours de 2 % d'escompte",								
"CUP","ZB53","dans les 10 jours 5 % d'escompte dans les 30 jours Net dû",								
"CUP","ZB55","dans les 8 jours 4 % d'escompte dans les 14 jours 2 % d'escompte",								
"CUP","ZB56","dans les 8 jours 3 % d'escompte dans les 30 jours Net dû",								
"CUP","ZB61","dans les 14 jours 4 % d'escompte dans les 30 jours 2 % d'escompte",								
"CUP","ZB64","dans les 8 jours 3 % d'escompte dans les 30 jours 2 % d'escompte",								
"CUP","ZB65","dans les 10 jours 1 % d'escompte dans les 21 jours Net dû,"								
