"ERP System","Payment_Term","Text",
"E1P","B828","1% 20th  Net 21st +2 Mo For incoming invoices until End  of the month Before 20 in 4 months 1 % cash discount Before 21 in 4 months Due net",
"E1P","B829","1% 15th  Net 16th +2 Mo For incoming invoices until End  of the month Before 15 in 4 months 1 % cash discount Before 16 in 4 months Due net",
"E1P","B830","Net 20th PROX For incoming invoices until End  of the month Before 20 in 2 months Due net",
"E1P","B831","Net 20th PROX + 1 Mo For incoming invoices until End  of the month Before 20 in 3 months Due net",
"E1P","B832","Net 20th PROX + 2 Mo For incoming invoices until End  of the month Before 20 in 4 months Due net",
"E1P","B833","15th  Net PROX + 2Mo For incoming invoices until End  of the month Before 15 in 4 months Due net",
"E1P","D201","Payable in 2 partial amounts 1 installment: 95.000 % with payment term A001 2 installment: 5.000 % with payment term S0R1",
"E1P","D301","Payable in 2 partial amounts 1 installment: 95.000 % with payment term SN30 2 installment: 5.000 % with payment term S0R2",
"E1P","D302","Payable in 2 partial amounts 1 installment: 95.000 % with payment term SN45 2 installment: 5.000 % with payment term S0R2",
"E1P","D303","Payable in 2 partial amounts 1 installment: 92.000 % with payment term SN30 2 installment: 8.000 % with payment term S0R3",
"E1P","D304","Payable in 2 partial amounts 1 installment: 92.000 % with payment term SN45 2 installment: 8.000 % with payment term S0R3",
"E1P","D305","Payable in 2 partial amounts 1 installment: 92.000 % with payment term SN60 2 installment: 8.000 % with payment term S0R3",
"E1P","D306","Payable in 2 partial amounts 1 installment: 90.000 % with payment term SN30 2 installment: 10.000 % with payment term S0R4",
"E1P","D307","Payable in 2 partial amounts 1 installment: 90.000 % with payment term SN45 2 installment: 10.000 % with payment term S0R4",
"E1P","D308","Payable in 2 partial amounts 1 installment: 90.000 % with payment term SN60 2 installment: 10.000 % with payment term S0R4",
"E1P","D309","Payable in 2 partial amounts 1 installment: 95.000 % with payment term PWP 2 installment: 5.000 % with payment term S0R2",
"E1P","D310","Payable in 2 partial amounts 1 installment: 92.000 % with payment term PWP 2 installment: 8.000 % with payment term S0R3",
"E1P","D311","Payable in 2 partial amounts 1 installment: 90.000 % with payment term PWP 2 installment: 10.000 % with payment term S0R4",
"E1P","D401","Payable in 2 partial amounts 1 installment: 95.000 % with payment term SN60 2 installment: 5.000 % with payment term S0R2",
"E1P","DP15","Net Due 15 Days (fixed days DPR)",
"E1P","DP45","Net Due 45 Days (fixed days DPR)",
"E1P","EP30","Net 30 or EPT",
"E1P","EP45","Net 45 or EPT",
"E1P","EP60","Net 60 or EPT",
"E1P","EP75","Net 75 or EPT",
"E1P","IC00","ICC Collection Immediately due",
"E1P","IC15","ICC Collection 15.M.+1",
"E1P","IC30","ICC Collection 30.M+1",
"E1P","IC75","ICC Collection 31st+2 mo",
"E1P","IC90","ICC Collection 15.M.+3",
"E1P","ICM4","ICC Collection 31st+4 mo",
"E1P","ICUT","ICUT Payable end of the month of invoice date",
"E1P","S013","60 Day monthend",
"E1P","S02P","Before 25 of the next month ;; Due net",
"E1P","S0M3","Before 25 of the next month ;; Due net",
"E1P","S0N1","0.5% 10 Net 35",
"E1P","S0N2","0.5% 15 Net 30",
"E1P","S0N3","0.5% 10 Net 30",
"E1P","S0R1","Retainage of 5% 30 months",
"E1P","S0R2","Retainage of 5% 99 months",
"E1P","S0R3","Retainage of 8%",
"E1P","S0R4","Retainage of 10%",
"E1P","S104","2% 10 Days Net 45",
"E1P","S130","1% 30 Days Net 31",
"E1P","S13M","Before 10 of the next month ;; 1 % cash discount Before 30 of the next month ;; Due net",
"E1P","S145","1% 45 Days Net 46",
"E1P","S150","Net Due 150 Days",
"E1P","S156","1.5% 20 Days Net 60",
"E1P","S15M","1% 25 Days Net 45",
"E1P","S16S","Before 15 of the next month ;; 1 % cash discount Before 25 of the next month ;; Due net",
"E1P","S175","1% 75 Days Net 76",
"E1P","S17M","Before 15 in 2 months 1 % cash discount Before 25 in 2 months Due net",
"E1P","S1M4","Before 10 in 4 months 1 % cash discount Before 25 in 4 months Due net",
"E1P","S1M7","within 70 days 1 % cash discount within 85 days Due net",
"E1P","S1MU","Before 10 in 2 months 1 % cash discount Before 25 in 2 months Due net",
"E1P","S1N0","1.5% 10 Net 20",
"E1P","S1N1","1% 10 Net 25",
"E1P","S1N2","1% 10 Net 30",
"E1P","S1N3","1.5% 10 Days Net 30",
"E1P","S1N4","1.5% 10 Days Net 45",
"E1P","S1N5","Before 15 of the next month ;; 1 % cash discount Before 30 of the next month ;; Due net",
"E1P","S1N6","1% 60 Days Net 61",
"E1P","S1N7","1% 10 Net 35",
"E1P","S1N8","1% 10 Net 45",
"E1P","S1N9","1% 11 Net 30",
"E1P","S1NA","1% 15 Days Net 35",
"E1P","S1NB","1% 15 Days Net 45",
"E1P","S1NC","1% 20 Days Net 45",
"E1P","S1RA","1% 10th / Net 11th Prox 1% 10th / Net 11th Prox",
"E1P","S1RB","Net 25th Prox",
"E1P","S1RM","within 90 days 1 % cash discount within 105 days Due net",
"E1P","S1RN","1% 15th Net 16th PROX 1% 15th Net 16th PROX",
"E1P","S1RO","15th Net PROX",
"E1P","S1RX","For incoming invoices until 25 of the month Before 15 in 2 months 1 % cash discount Before 16 in 2 months Due net For incoming invoices until End  of the month Before 15 in 3 months 1 % cash discount Before 16 in 3 months Due net",
"E1P","S1RY","For incoming invoices until 25 of the month Before 15 in 2 months Due net For incoming invoices until End  of the month Before 15 in 3 months Due net",
"E1P","S20!","Before 15 in 6 months 2 % cash discount Before 25 in 6 months Due net",
"E1P","S207","Before 15 in 2 months 2 % cash discount Before 25 in 2 months Due net",
"E1P","S208","Before 15 of the next month ;; 2 % cash discount Before 25 of the next month ;; Due net",
"E1P","S20>","Before 15 of the next month ;; 2.75 % cash discoun Before 25 of the next month ;; Due net",
"E1P","S20T","Before 15 in 5 months 2 % cash discount Before 25 in 5 months Due net",
"E1P","S210","Before 10 of the next month ;; 2 % cash discount Before 15 of the next month ;; Due net",
"E1P","S215","2% 15th Net 25th + 3 Months",
"E1P","S225","2% 25 Days Net 45",
"E1P","S230","For incoming invoices until 17 of the month Before 30 of the month 2 % cash discount Before 20 of the next month ;; Due net For incoming invoices until End  of the month Before 30 of the next month ;; 2 % cash discount Before 20 in 2 months Due net",
"E1P","S233","2% 30 Days Net 31",
"E1P","S240","Net Due 240 Days",
"E1P","S251","2% 25th Net 10th + 1 Month",
"E1P","S252","2% 25th Net 10th + 2 Months",
"E1P","S253","Before 15 in 4 months 2 % cash discount Before 25 in 4 months Due net",
"E1P","S25T","2% 25th Net 10th",
"E1P","S275","2% 15 Days Net 75 Days",
"E1P","S2LZ","Before 10 of the next month ;; 2 % cash discount Before 25 of the next month ;; Due net",
"E1P","S2M0","Before 10 in 2 months 2 % cash discount Before 25 in 2 months Due net",
"E1P","S2M1","Before 10 in 2 months 2 % cash discount Before 30 in 2 months Due net",
"E1P","S2M2","Before 10 in 3 months 2 % cash discount Before 30 in 3 months Due net",
"E1P","S2M3","Before 15 of the next month ;; 2 % cash discount Before 25 of the next month ;; Due net",
"E1P","S2M4","Before 15 in 2 months 2 % cash discount Before 25 in 2 months Due net",
"E1P","S2M5","2% 15th Net 25th of next month",
"E1P","S2M6","Before 15 in 3 months 2 % cash discount Before 25 in 3 months Due net",
"E1P","S2M7","2% 15th Net 25th + 3 Months",
"E1P","S2M8","Before 10 in 3 months 2 % cash discount Before 25 in 3 months Due net",
"E1P","S2M9","Before 10 in 4 months 2 % cash discount Before 25 in 4 months Due net",
"E1P","S2MA","2% 15th Net 30th",
"E1P","S2N1","2% 10 Net 31",
"E1P","S2N2","2% 10 Days Net 25",
"E1P","S2N3","2% 10 Days Net 30",
"E1P","S2N4","2% 10 Days Net 45",
"E1P","S2N5","2% 45 Days Net 60",
"E1P","S2N6","2% 60 Days Net 61",
"E1P","S2N7","2% 30 Days Net 75",
"E1P","S2N8","2% 60 Days Net 75",
"E1P","S2N9","2% 45 Days Net 90",
"E1P","S2NA","2% 60 Days Net 90",
"E1P","S2NB","2% 10 Days Net 35",
"E1P","S2NC","2% 10 Days Net 41",
"E1P","S2ND","2% 12 Days Net 35",
"E1P","S2NE","2% 14 Net 90",
"E1P","S2NF","2% 15 Net 35",
"E1P","S2NG","2% 20 Net 35",
"E1P","S2NH","2% 90 Net 105",
"E1P","S2NI","2% 120 Net 121",
"E1P","S2NJ","2% 179 Net 180",
"E1P","S2NK","2% 30 Net 31",
"E1P","S2NL","2% 15 Net 45",
"E1P","S2NM","Before 10 of the next month ;; 2 % cash discount Before 30 of the next month ;; Due net",
"E1P","S2NN","2% 90 Net 91",
"E1P","S2NO","2% 30 Days Net 45",
"E1P","S2NP","2% 14 Days Net 60",
"E1P","S2NQ","2% 15 Days Net 90",
"E1P","S2NT","2% 14 Net 30",
"E1P","S2NU","Before 15 of the next month ;; 2 % cash discount Before 30 of the next month ;; Due net",
"E1P","S2NV","2% 20 Days Net 30",
"E1P","S2NW","2% 10 Net 15",
"E1P","S2NZ","2.5% 10 Days Net 30",
"E1P","S2O!","Before 15 in 5 months 2 % cash discount Before 25 in 5 months Due net",
"E1P","S2SA","Before 10 in 4 months 2 % cash discount Before 25 in 4 months Due net",
"E1P","S2TA","Before 10 in 5 months 2 % cash discount Before 25 in 5 months Due net",
"E1P","S2ZA","Before 10 in 3 months 2 % cash discount Before 25 in 3 months Due net",
"E1P","S30)","Before 15 of the next month ;; 3.5 % cash discount Before 25 of the next month ;; Due net",
"E1P","S30C","Net 30 Subject to Credit Approval",
"E1P","S360","NET 360",
"E1P","S365","Net Due 365 Days",
"E1P","S3M0","Before 10 of the next month ;; 3 % cash discount Before 25 of the next month ;; Due net",
"E1P","S3ML","Before 10 in 2 months 3 % cash discount Before 25 in 2 months Due net",
"E1P","S3N1","3% 14 Net 90",
"E1P","S3N2","3% 45 Net 46",
"E1P","S3N3","within 30 days 3 % cash discount within 31 days Due net",
"E1P","S3N4","3% 45 Net 60",
"E1P","S3N6","3% 60 Net 61",
"E1P","S3N7","3% 14 Days Net 75",
"E1P","S3N9","3% 15 Net 90",
"E1P","S430","4% 30 Days Net 31",
"E1P","S490","4% 90 Days Net 91",
"E1P","S4M1","4% 10th Net 25th + 1 Month",
"E1P","S4MJ","Before 10 in 2 months 4 % cash discount Before 25 in 2 months Due net",
"E1P","S4MK","Before 10 in 3 months 4 % cash discount Before 25 in 3 months Due net",
"E1P","S4N9","4% 90 Days Net 91",
"E1P","S540","Net Due 540 Days",
"E1P","S5M1","Before 10 in 2 months 5 % cash discount Before 25 in 2 months Due net",
"E1P","S5MO","Before 10 in 3 months 5 % cash discount Before 25 in 3 months Due net",
"E1P","S5N3","5% 10 Net 30",
"E1P","S6MH","Before 10 in 2 months 6 % cash discount Before 25 in 2 months Due net",
"E1P","S751","Net 75 days - Due 1st of next month",
"E1P","S7M1","Before 10 in 2 months 7 % cash discount Before 25 in 2 months Due net",
"E1P","S7MN","Before 10 in 3 months 7 % cash discount Before 25 in 3 months Due net",
"E1P","S7N3","7%, 10Days, Net 25+30",
"E1P","SALL","2% AllPhase",
"E1P","SAMX","American Express",
"E1P","SBKP","Bankruptcy",
"E1P","SCAD","Cash Against Documents",
"E1P","SCCD","Credit Card",
"E1P","SCE1","1% CED Program",
"E1P","SCE2","2% CED Program",
"E1P","SCIA","Cash in Advance",
"E1P","SCOD","Cash on Delivery",
"E1P","SD60","3.5% 15 days NET 60",
"E1P","SD90","Sight Draft - Net 90 Days",
"E1P","SDRA","Sight Draft - Net 30",
"E1P","SFM1","Due on 15th of the 1st Month",
"E1P","SFM2","Due on 15th of the 2nd Month",
"E1P","SFM3","Due on 15th of the 3rd Month",
"E1P","SFM4","Due on 15th of the 4th Month",
"E1P","SFM5","Due on 15th of the 5th Month",
"E1P","SFN2","2nd + 2 Months",
"E1P","SGP1","2% 20 Days Net 45",
"E1P","SGP2","2% 10 Days Net 60",
"E1P","SGP3","2% 20 Days Net 60",
"E1P","SGP4","2% 20 Days Net 90",
"E1P","SGP5","2% 15 Days Net 60",
"E1P","SGP6","3% 14 Days Net 60",
"E1P","SHM3","Due on 5th of the 3rd Month",
"E1P","SI01","Installment Due After 30 Days",
"E1P","SI02","Installment Due After 60 Days",
"E1P","SI03","Installment Due After 90 Days",
"E1P","SI33","Payterm - 3 Installments Payment Plan",
"E1P","SIN0","Installment Due 15th of Current Month",
"E1P","SIN1","Installment Due 15th of the Ist Month",
"E1P","SIN2","Installment Due 15th of the 2nd Month",
"E1P","SIN3","Installment Due 15th of the 3rd Month",
"E1P","SIN4","Installment Due 15th of the 4th Month",
"E1P","SIN5","Installment Due 15th of the 5th Month",
"E1P","SIN6","Installment Due 15th of the 6th Month",
"E1P","SIN7","Installment Due 15th of the 7th Month",
"E1P","SIN8","Installment Due 15th of the 8th Month",
"E1P","SIN9","Installment Due 15th of the 9th Month",
"E1P","SINS","Payterm - Installments Payment Plan",
"E1P","SL/C","Letter of credit-due immediate",
"E1P","SLC1","Letter of credit -due 120 days",
"E1P","SLC3","Letter of credit -due 30 days",
"E1P","SLC5","Letter of credit -due 150 days",
"E1P","SLC6","Letter of credit -due 60 days",
"E1P","SLC9","Letter of credit -due 90 days",
"E1P","SLCH","Letter of credit -due 180 days",
"E1P","SLCI","Letter of Credit Irrevocable",
"E1P","SM/C","Master Card",
"E1P","SN/C","No Charge",
"E1P","SN05","Net Due 5 Days",
"E1P","SN07","Net Due 7 Days",
"E1P","SN1%","Before 10 of the next month ;; 1 % cash discount Before 25 of the next month ;; Due net",
"E1P","SN10","Net Due 10 Days",
"E1P","SN12","Net Due 120 Days",
"E1P","SN14","Net Due 14 Days",
"E1P","SN15","Net Due 15 Days",
"E1P","SN16","1% 60 days Net 75 Days",
"E1P","SN18","Net Due 180 Days",
"E1P","SN20","Net Due 20 Days",
"E1P","SN21","Net Due 210 Days",
"E1P","SN25","Net Due 25 Days",
"E1P","SN27","Net Due 270 Days",
"E1P","SN30","Net Due 30 Days",
"E1P","SN31","Net Due End of Month",
"E1P","SN32","Net Due 15th Next  Month",
"E1P","SN33","Net Ultimo Next  Month",
"E1P","SN35","Net Due 35 Days",
"E1P","SN3H","Net Due 300 Days",
"E1P","SN40","Net Due 40 Days",
"E1P","SN45","Net Due 45 Days",
"E1P","SN47","Net Due 47 Days",
"E1P","SN50","Net Due 50 Days",
"E1P","SN55","Net Due 55 Days",
"E1P","SN60","Net Due 60 Days",
"E1P","SN66","Net Due 66 Days",
"E1P","SN70","Net Due 70 Days",
"E1P","SN75","Net Due 75 Days",
"E1P","SN90","Net Due 90 Days",
"E1P","SONP","Sonepar PJ",
"E1P","SP2%","within 14 days 2 % cash discount within 120 days Due net",
"E1P","SPIA","Payment in Advance",
"E1P","SPM5","within 190 days 2 % cash discount within 205 days Due net",
"E1P","SPM8","within 160 days 2 % cash discount within 175 days Due net",
"E1P","SPM9","within 130 days 2 % cash discount within 155 days Due net",
"E1P","SPOR","Payable on Receipt",
"E1P","SPWP","Due upon receipt of payment from Tier",
"E1P","SS11","For incoming invoices until 15 of the month Before 10 of the next month ;; 1 % cash discount Before 11 of the next month ;; Due net For incoming invoices until End  of the month Before 20 of the next month ;; 1 % cash discount Before 21 of the next month ;; Due net",
"E1P","SS12","1% 10th / 25th split PROX For incoming invoices until End  of the month Before 25 of the next month ;; 1 % cash discount Before 26 of the next month ;; Due net",
"E1P","SS1X","For incoming invoices until 15 of the month Before 10 in 2 months 1 % cash discount Before 11 in 2 months Due net For incoming invoices until End  of the month Before 20 in 2 months 1 % cash discount Before 21 in 2 months Due net",
"E1P","SS1Y","1% 10th / 25th split PROX +1Mo For incoming invoices until End  of the month Before 25 in 2 months 1 % cash discount Before 26 in 2 months Due net",
"E1P","SSIG","Sight Draft  Net 30",
"E1P","SSN1","For incoming invoices until 15 of the month Before 10 of the next month ;; Due net For incoming invoices until End  of the month Before 20 of the next month ;; Due net",
"E1P","SSN5","Net 10th / 25th split PROX For incoming invoices until End  of the month Before 25 of the next month ;; Due net",
"E1P","SSNX","For incoming invoices until 15 of the month Before 10 in 2 months Due net For incoming invoices until End  of the month Before 20 in 2 months Due net",
"E1P","SSNY","Net 10th / 25th split PROX+1Mo For incoming invoices until End  of the month Before 25 in 2 months Due net",
"CUP","C000","Payable immediately Due net",
"CUP","C070","within 7 days Due net",
"CUP","C105","within 105 days Due net",
"CUP","C120","within 120 days Due net",
"CUP","C133","within 30 days 3 % cash discount within 120 days Due net",
"CUP","C140","within 14 days Due net",
"CUP","C142","within 14 days 2 % cash discount",
"CUP","C143","within 14 days 3 % cash discount",
"CUP","C150","within 150 days Due net",
"CUP","C163","within 60 days 3 % cash discount within 120 days Due net",
"CUP","C165","within 165 days Due net",
"CUP","C172","within 7 days 2 % cash discount within 14 days Due net",
"CUP","C180","within 180 days Due net",
"CUP","C200","within 20 days Due net",
"CUP","C300","within 30 days Due net",
"CUP","C302","within 30 days 2 % cash discount",
"CUP","C303","within 30 days 3 % cash discount",
"CUP","C311","within 14 days 1,5 % cash discount within 30 days Due net",
"CUP","C312","within 14 days 2 % cash discount within 120 days Due net",
"CUP","C313","within 14 days 3 % cash discount within 30 days Due net",
"CUP","C315","within 14 days 3 % cash discount within 30 days 2 % cash discount",
"CUP","C322","within 20 days 2 % cash discount within 30 days Due net",
"CUP","C372","within 7 days 2 % cash discount within 30 days Due net",
"CUP","C412","within 14 days 2 % cash discount within 45 days Due net",
"CUP","C413","within 14 days 3 % cash discount within 45 days Due net",
"CUP","C415","within 14 days 3 % cash discount within 30 days 2 % cash discount within 45 days Due net",
"CUP","C423","within 20 days 3 % cash discount within 45 days Due net",
"CUP","C433","within 30 days 3 % cash discount within 45 days Due net",
"CUP","C450","within 45 days Due net",
"CUP","C600","within 60 days Due net",
"CUP","C602","within 60 days 2 % cash discount",
"CUP","C612","within 14 days 2 % cash discount within 60 days Due net",
"CUP","C613","within 14 days 3 % cash discount within 60 days Due net",
"CUP","C615","within 14 days 3 % cash discount within 30 days 2 % cash discount withiwithin 60 days Due net",
"CUP","C625","within 20 days 3 % cash discount within 30 days 2 % cash discount within 60 days Due net",
"CUP","C632","within 30 days 2 % cash discount within 60 days Due net",
"CUP","C633","within 30 days 3 % cash discount within 60 days Due net",
"CUP","C750","within 75 days Due net",
"CUP","C900","within 90 days Due net",
"CUP","C913","within 14 days 3 % cash discount within 90 days Due net",
"CUP","C915","within 14 days 3 % cash discount within 30 days 2 % cash discount within 90 days Due net",
"CUP","C923","within 20 days 3 % cash discount within 90 days Due net",
"CUP","C925","within 20 days 3 % cash discount within 30 days 2 % cash discount within 90 days Due net",
"CUP","C932","within 30 days 2 % cash discount within 90 days Due net",
"CUP","C933","within 30 days 3 % cash discount within 90 days Due net",
"CUP","C935","within 30 days 3 % cash discount within 60 days 2 % cash discount within 90 days Due net",
"CUP","C963","within 60 days 3 % cash discount within 90 days Due net",
"CUP","US00","Payable immediately Due net",
"CUP","US10","within 10 days Due net",
"CUP","US15","within 15 days Due net",
"CUP","US20","within 20 days Due net",
"CUP","US30","within 30 days Due net",
"CUP","Z002","within 10 days Due net",
"CUP","Z007","within 10 days 2 % cash discount within 30 days Due net",
"CUP","Z008","within 8 days 2 % cash discount within 30 days Due net",
"CUP","Z009","within 10 days 3 % cash discount within 30 days 2 % cash discount within 90 days Due net",
"CUP","Z010","within 10 days 3 % cash discount within 14 days 2 % cash discount within 30 days Due net",
"CUP","Z011","within 5 days Due net",
"CUP","Z012","within 7 days 4 % cash discount",
"CUP","Z015","within 10 days 3 % cash discountwithin 30 days Due net",
"CUP","Z016","within 30 days 3 % cash discountwithin 60 days Due net",
"CUP","Z019","within 90 days Due netwithin 15 days Due net",
"CUP","Z022","within 15 days Due netwithin 20 days 5 % cash discount",
"CUP","Z025","within 20 days 5 % cash discountwithin 30 days Due net",
"CUP","Z026","within 8 days 2 % cash discountwithin 14 days Due net",
"CUP","Z028","within 20 days 3 % cash discountBefore End in 3 months Due net",
"CUP","Z029","within 21 days Due netwithin 10 days 2 % cash discount",
"CUP","Z031","within 10 days 2 % cash discountwithin 90 days Due net",
"CUP","Z032","within 8 days 2 % cash discountwithin 20 days Due net",
"CUP","Z050","within 14 days 5 % cash discountwithin 30 days Due net",
"CUP","Z051","within 10 days 2 % cash discountwithin 14 days Due net",
"CUP","Z052","within 10 days 4 % cash discountwithin 30 days 2 % cash discount",
"CUP","Z082","within 10 days 2,5 % cash discountwithin 30 days Due net",
"CUP","Z100","within 14 days 2,5 % cash discountwithin 30 days Due net",
"CUP","Z104","within 45 days 2 % cash discountwithin 90 days Due net",
"CUP","Z107","within 8 days Due netwithin 41 days Due net",
"CUP","Z110","within 41 days Due netwithin 5 days 2 % cash discount",
"CUP","Z111","within 5 days 2 % cash discountPayable immediately Due net",
"CUP","Z150","Payable immediately Due netBaseline date on 15 of next month",
"CUP","Z200","within 20 days 2 % cash discountwithin 60 days Due net",
"CUP","ZB13","within 10 days 1,5 % cash discountwithin 30 days Due net",
"CUP","ZB24","within 12 days 3 % cash discountwithin 28 days 2 % cash discount",
"CUP","ZB34","within 10 days 3,1 % cash discountwithin 30 days 2 % cash discount",
"CUP","ZB37","within 20 days 1,5 % cash discountwithin 30 days Due net",
"CUP","ZB49","within 45 days 3 % cash discountwithin 60 days Due net",
"CUP","ZB50","within 8 days 3 % cash discountwithin 14 days 2 % cash discount",
"CUP","ZB53","within 10 days 5 % cash discountwithin 30 days Due net",
"CUP","ZB55","within 8 days 4 % cash discountwithin 14 days 2 % cash discount",
"CUP","ZB56","within 8 days 3 % cash discountwithin 30 days Due net",
"CUP","ZB61","within 14 days 4 % cash discountwithin 30 days 2 % cash discount",
"CUP","ZB64","within 8 days 3 % cash discountwithin 30 days 2 % cash discount",
"CUP","ZB65","within 10 days 1 % cash discountwithin 21 days Due net",
"CUP","ZB67","within 40 days 2 % cash discountwithin 85 days Due net",
"CUP","ZB73","within 90 days Due netwithin 8 days 1 % cash discount",
"CUP","ZB75","within 8 days 1 % cash discountwithin 30 days Due net",
"CUP","ZB76","within 16 days 3 % cash discountwithin 30 days 2 % cash discount",
"CUP","ZB80","within 14 days 0,5 % cash discountwithin 30 days Due net",
"CUP","ZB84","within 10 days 4 % cash discountwithin 30 days 2 % cash discount",
"CUP","ZB88","within 30 days 1 % cash discountwithin 14 days 3,5 % cash discount",
"CUP","ZB93","within 14 days 3,5 % cash discountwithin 30 days 2 % cash discount",
"CUP","ZB94","within 15 days 1 % cash discountwithin 30 days Due net",
"CUP","ZB95","within 21 days 2 % cash discountwithin 30 days Due net",
"CUP","ZINT","Before 5 of the next month ;; Due netPayable immediately Due net",
"CUP","ZRD3","Payable immediately Due net",
"D35","0001","Within 1 day due net",
"D35","0005","within 5 days Due net",
"D35","0006","Payment Due Immediately",
"D35","0007","Within 7 Days Due Net",
"D35","0008","Within 8 Days Due Net",
"D35","0010","Within 10 Days Due Net",
"D35","0014","within 14 days Due net",
"D35","0015","Net 15 days",
"D35","0020","within 20 days Due net",
"D35","0021","Within 21 days due net",
"D35","0025","within 25 days Due net",
"D35","0030","Net 30 days",
"D35","0035","Within 35 days Due net",
"D35","0040","Within 40 days due net",
"D35","0045","Within 45 days due net",
"D35","0055","Within 55 days due net",
"D35","0060","within 60 days Due net",
"D35","0065","within 65 days Due net",
"D35","0070","within 70 days Due net",
"D35","0075","within 75 days Due net",
"D35","0080","Within 80 days due net",
"D35","0085","within 85 days Due net",
"D35","0090","within 90 days Due net",
"D35","0095","within 95 days Due net",
"D35","0100","within 100 days Due net",
"D35","0105","within 105 days Due net",
"D35","0110","within 110 days Due net",
"D35","0115","within 115 days Due net",
"D35","0120","within 120 days Due net",
"D35","0150","Within 150 days",
"D35","0180","within 180 days Due net",
"D35","0210","Within 210 Days",
"D35","0240","Within 240 Days",
"D35","0270","Within 270 Days",
"D35","02M2","Due second day of the second month",
"D35","0300","Within 300 Days",
"D35","0330","Within 330 Days",
"D35","0360","Within 360 Days",
"D35","0365","Within 365 Days",
"D35","0390","Within 390 days",
"D35","0420","Within 420 Days",
"D35","0450","Within 450 days",
"D35","0480","Within 480 Days",
"D35","0510","Within 510 days",
"D35","0540","Within 540 Days",
"D35","0570","Within 570 Days",
"D35","0600","Within 600 Days",
"D35","0630","Within 630 Days",
"D35","0660","Within 660 Days",
"D35","0690","Within 690 Days",
"D35","0720","Within 720 Days",
"D35","0750","Within 750 Days",
"D35","0780","Within 780 Days",
"D35","0810","Within 810 Days",
"D35","0840","Within 840 Days",
"D35","0870","Within 870 Days",
"D35","0900","Within 900 Days",
"D35","0930","Within 930 Days",
"D35","0990","Within 990 Days",
"D35","0999","Within 999 Days",
"D35","1%14","within 14 days 1 % cash discountwithin 75 days Due net",
"D35","1.5%","within 30 days 1 % cash discountwithin 40 days Due net",
"D35","1440","within 10 days 1 % cash discountwithin 40 days Due net",
"D35","150","within 14 days 1 % cash discountwithin 40 days Due net",
"D35","15M2","within 15 days 1 % cash discountwithin 40 days Due net",
"D35","15M3","within 10 days 1 % cash discountwithin 45 days Due net",
"D35","1800","within 15 days 1 % cash discountwithin 30 days Due net",
"D35","1A30","within 15 days 1 % cash discountwithin 45 days Due net",
"D35","1X10","within 15 days 1 % cash discountwithin 60 days Due net",
"D35","1X14","within 10 days 2 % cash discountwithin 60 days Due net",
"D35","1X15","within 20 days 2 % cash discountwithin 60 days Due net",
"D35","1X20","within 30 days 2 % cash discountwithin 60 days Due net",
"D35","1X30","within 10 days 2.5 % cash discountwithin 30 days Due net",
"D35","1X45","within 15 days 2.5 % cash discountwithin 40 days Due net",
"D35","1Y30","within 20 days 2 % cash discountwithin 30 days Due net",
"D35","1Y45","within 20 days 2 % cash discountwithin 40 days Due net",
"D35","1Y60","within 30 days 2 % cash discountwithin 40 days Due net",
